time,left_ankle_pitch_pos,right_ankle_pitch_pos,left_ankle_pitch_vel,right_ankle_pitch_vel,left_ankle_pitch_torque,right_ankle_pitch_torque,left_ankle_roll_pos,right_ankle_roll_pos,left_ankle_roll_vel,right_ankle_roll_vel,left_ankle_roll_torque,right_ankle_roll_torque,com_x,com_y,com_z,base_height,base_roll,base_pitch,base_yaw
4.859,-0.1520849064447358,-0.5927175923153678,-0.37824712448801373,-1.2230487611818204,-50.789186963470854,-2.8598158654812664,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9184997730476886,0.18793850949378843,-0.12263449202046584,-1.4616721495224283
4.86,-0.1566034341947542,-0.6039447076373805,-0.5086288462461717,-1.0373492504756134,-48.06424097015664,-2.5893570633935763,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9132719610894025,0.20713929307743795,-0.1103606194431308,-1.4574220202071895
4.861,-0.16232817610509948,-0.6132281617497116,-0.6231517918170767,-0.8382857013511946,-45.78032566425151,-2.631560764906734,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.907714225138003,0.22699735503440066,-0.09647381307389336,-1.453723878413683
4.862,-0.1691516740713258,-0.6205173954299968,-0.7299587999294201,-0.6405551267920873,-43.73593841629857,-2.893391043135153,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9018163714939823,0.24745107928768073,-0.08105260864848307,-1.4505569753129859
4.863,-0.177017716015534,-0.625891552003229,-0.8324662279681034,-0.4555829647790779,-41.83483635612848,-3.294306367581739,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.8955686687998695,0.26842707971415947,-0.06414301896356123,-1.4478929880698248
4.864,-0.18589350029849977,-0.629522192407908,-0.9323737307628435,-0.29067190605518406,-40.02085652960925,-3.772543557421167,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.8889616474475842,0.28984463808097993,-0.04577329498355387,-1.4456910431941155
4.865,-0.19575937060207108,-0.631631193412321,-1.0307928369866255,-0.14923320064648624,-38.26074569784684,-4.28651205642773,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.8819858657424243,0.31161879310294094,-0.025962675682671632,-1.4438951892397625
4.866,-0.20661074874986768,-0.6324605931963394,-1.1297929026329405,-0.032349475443905484,-36.58657655275047,-4.804591593249225,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.8746318472731761,0.3336633479738129,-0.004726948227087524,-1.4424340955360806
4.867,-0.21845822723076572,-0.6322547111361937,-1.229826794973948,0.06043315856733767,-34.913047737958,-5.297298317915252,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.8668900409235748,0.35589416684370445,0.017917785504687034,-1.4412206615834582
4.868,-0.23130930816840753,-0.6312459005100487,-1.330387101347535,0.13079271515690458,-33.220404739624335,-5.742246758232415,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.8587502383968953,0.37823064246390137,0.04195164696700582,-1.440148418439497
4.869,-0.2451670382318231,-0.6296493438841212,-1.4310869895037535,0.18027031160436854,-31.502027933443323,-6.129330642574669,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.8502012341933978,0.4005973889508101,0.06734868459771448,-1.4390899190781987
4.87,-0.2600303566665634,-0.6276894276662586,-1.5310939373220338,0.205303000450256,-29.755448557353024,-6.405988930145695,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.8412303181421493,0.42292726574160433,0.09407557665005806,-1.4378898928865718
4.871,-0.27587930302653385,-0.6255885707115586,-1.628875018238361,0.21020124387053069,-28.001311027376396,-6.595031960663143,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.8318234253921702,0.4451595997852565,0.12209079124045497,-1.4363755974348453
4.872,-0.2927089767211395,-0.6235347079684651,-1.727482043261705,0.20040597277753802,-26.199318657558923,-6.707893682150155,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.8219667528441995,0.46723670526393735,0.15133817429350915,-1.4343893358367183
4.873,-0.31053604379215305,-0.6216089084873806,-1.8282867871626554,0.1856975927861427,-24.331801600390904,-6.795054059850094,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.8116456962009925,0.4891142760837944,0.18174675363098736,-1.4317692126570176
4.874,-0.3293868930153468,-0.6198469585576286,-1.932045989408606,0.16807131802876765,-22.38752681560596,-6.8637064641274,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.8008446966268506,0.5107628314986778,0.21323267879273766,-1.4283515776200868
4.875,-0.3492939281766538,-0.6182749244539674,-2.039244033768451,0.14798637419761915,-20.355032912197984,-6.9143708223838205,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.789547044521847,0.5321686168636404,0.24570061923649322,-1.4239732734777628
